,Month,Day,Hour,Lat,Long,WindSpeed,Pressure,unique-key,distance,direction,gridID
116,8,13,18,22.5,-93.5,30.0,1008,BERYL-2000-5,0.0,0.0,1860.0
117,8,14,0,22.7,-93.8,30.0,1008,BERYL-2000-5,23.61073349715885,140.56797538055898,1860.0
118,8,14,6,23.1,-94.6,35.0,1007,BERYL-2000-5,57.951316634307645,161.35118414564937,1859.0
119,8,14,12,23.5,-95.4,40.0,1009,BERYL-2000-5,57.81825967928206,174.3022182194977,1981.0
120,8,14,18,23.9,-96.3,45.0,1009,BERYL-2000-5,63.31003856020357,337.25083253796186,1981.0
121,8,15,0,24.1,-97.0,45.0,1007,BERYL-2000-5,46.30740053624303,340.7092443378871,1980.0
122,8,15,6,24.5,-97.7,45.0,1009,BERYL-2000-5,52.042339267568565,305.78963676125414,2102.0
123,8,15,12,24.9,-98.6,30.0,1010,BERYL-2000-5,62.90998074057205,237.54412808215815,2101.0
124,8,15,18,25.2,-99.8,25.0,1012,BERYL-2000-5,77.94230095095412,258.374412786588,2223.0
125,8,17,12,14.2,-51.9,25.0,1009,CHRIS-2000-6,0.0,0.0,795.0
126,8,17,18,14.7,-52.8,25.0,1009,CHRIS-2000-6,69.44223968354078,154.690429003699,917.0
127,8,18,0,15.2,-53.4,25.0,1009,CHRIS-2000-6,52.908024950672,134.89176070195927,916.0
128,8,18,6,15.6,-54.1,30.0,1009,CHRIS-2000-6,54.21908371678148,57.83191116420357,1039.0
129,8,18,12,16.2,-55.4,35.0,1008,CHRIS-2000-6,95.84368192413474,88.54860620990362,1160.0
130,8,18,18,16.8,-56.5,30.0,1011,CHRIS-2000-6,83.8626148130962,154.89744714550903,1159.0
131,8,19,0,17.3,-57.7,25.0,1012,CHRIS-2000-6,86.49290006734384,182.8321079799249,1281.0
132,8,19,6,17.8,-59.0,25.0,1012,CHRIS-2000-6,92.37145800285163,327.511964909847,1280.0
133,8,19,12,18.3,-60.4,20.0,1013,CHRIS-2000-6,98.2716519189548,289.75138941069815,1401.0
134,8,19,18,12.0,-44.5,30.0,1010,DEBBY-2000-7,0.0,0.0,556.0
135,8,20,0,12.6,-45.3,30.0,1010,DEBBY-2000-7,68.10148442088497,313.59188734573456,679.0
136,8,20,6,13.3,-46.8,35.0,1009,DEBBY-2000-7,112.01743430405432,230.16582946153974,800.0
